subject,relation,object
重力,异常特征,矿体
重力异常,影响,断裂
重力,异常特征,高次导数法
布格校正,校正方法,高度校正
重力,异常特征,重力异常
重力,描述,重力异常图
自由空间重力异常,校正方法,正常场校正
梯度,描述,重力
密度,产生,重力
重力,异常特征,区域异常
重力,异常特征,重力测量
布格重力异常,校正方法,高度校正
球体,产生,重力异常
构造,异常特征,重力
重力,产生,地形校正
梯度,描述,重力场
布格重力异常,校正方法,中间层校正
重力,校正方法,正常场校正
重力异常,影响,反演
球体,异常特征,梯度
延拓,异常特征,重力
重力异常,包含,重力
重力异常,异常特征,区域异常
密度,校正方法,重力
重力异常,异常特征,正常场校正
重力场,产生,重力测量
重力异常,包含,构造
重力,描述,重力场
重力异常图,描述,重力测量
重力,异常特征,延拓
球体,异常特征,重力
重力异常,描述,重力测量
重力,校正方法,剩余异常
重力,异常特征,地形校正
断裂,产生,重力异常
重力异常,反映,密度
重力,描述,梯度
重力,描述,密度
正常场校正,对应,莫霍面
趋势分析法,描述,区域异常
构造,产生,重力
重力,包含,重力测量
重力异常,反映,重力
重力异常,影响,地形校正
重力,校正方法,重力异常
重力异常图,异常特征,铁矿
布格重力异常,异常特征,高度校正
重力,描述,重力测量
重力,异常特征,断裂
重力,属于,重力场
密度,对应,莫霍面
重力异常,构造形式,古潜山
延拓,影响,重力
布格校正,异常特征,重力
反演,用于,重力异常
重力,校正方法,密度
重力场,描述,重力测量
重力测量,产生,密度
重力,异常特征,布格重力异常
重力,作为,区域异常
重力,异常特征,构造
密度,产生,重力异常
断裂,影响,构造
延拓,异常特征,区域异常
重力,描述,反演
重力,校正方法,重力场
重力,描述,布格重力异常
梯度,影响,重力
趋势分析法,描述,重力
矿体,异常特征,重力
布格校正,对应,密度
断裂,构造形式,构造
重力,描述,矿体
重力异常,产生,重力
圆柱体,产生,重力异常
重力,包含,延拓
布格校正,产生,重力
区域异常,产生,重力
重力异常,构造形式,重力
重力场,描述,重力
重力异常,异常特征,重力
重力场,描述,梯度
重力,描述,重力异常
球体,产生,重力
重力,反映,重力异常
重力异常,产生,球体
密度,描述,梯度
重力异常,异常特征,剩余异常
构造,描述,重力
重力,包含,矿体
重力测量,描述,重力
密度,异常特征,重力
重力,异常特征,密度
重力异常,包含,重力测量
重力,描述,正常场校正
重力,作为,密度
重力异常,异常特征,密度
断裂,包含,重力
构造,异常特征,断裂
中间层校正,校正方法,布格校正
重力,构造形式,古潜山
重力异常,描述,重力
重力,包含,平均场法
布格重力异常,包含,密度
密度,校正方法,梯度
区域异常,描述,梯度
延拓,异常特征,重力场
重力,属于,矿体
重力异常图,反映,重力
重力测量,异常特征,矿体
重力,包含,密度
正常场校正,对应,密度
矿体,构造形式,重力异常
重力,产生,重力异常
密度,影响,剩余异常
重力异常,反映,构造
重力测量,校正方法,重力
高度校正,校正方法,正常场校正
重力,影响,重力异常
重力场,异常特征,构造
地形校正,校正方法,密度
区域异常,异常特征,梯度
重力,异常特征,梯度
重力,影响,构造
重力,异常特征,高度校正
矿体,反映,重力
平均场法,异常特征,重力
重力,用于,区域异常
重力,异常特征,中间层校正
重力异常图,描述,重力
重力,构造形式,重力异常
密度,用于,构造
重力测量,校正方法,密度
延拓,影响,重力场
梯度,异常特征,重力异常
重力异常,异常特征,反演
反演,描述,密度
矿体,异常特征,密度
密度,异常特征,反演
布格重力异常,校正方法,正常场校正
区域异常,作为,重力
地形校正,校正方法,重力
球体,产生,梯度
重力测量,描述,梯度
重力异常,作为,重力
梯度,用于,重力场
重力异常,异常特征,延拓
重力,作为,重力测量
剩余异常,产生,重力
重力,产生,密度
反演,异常特征,重力
重力,构造形式,构造
重力异常,作为,密度
